K,N,B,model_key,model_name,view,seed,params,rmse,mae,r2,wall_seconds
2,20,1,gcn-only,GCN-only (uncut),uncut,0,17409,0.017385803163051605,0.0130940405651927,-0.007974016447181542,0.32
2,20,1,gcn-ds,GCN+DeepSets (cut),cut,0,34049,0.017402321100234985,0.012967625632882118,-0.009890235142084425,0.35
2,20,1,gcn-st,GCN+SetTransformer (cut),cut,0,67713,0.01737475022673607,0.013208236545324326,-0.006692665540952936,0.44
2,20,1,gsc-v1,GraphSetConv-V1 (cut),cut,0,168324,0.017361724749207497,0.013030178844928741,-0.005183915067721312,0.99
2,20,1,gsc-v2,GraphSetConv-V2 (cut),cut,0,218628,0.017357919365167618,0.013133111409842968,-0.004743464281155463,1.33
2,20,8,gcn-only,GCN-only (uncut),uncut,0,17409,0.022794632241129875,0.017458440735936165,-0.03749941701096193,0.31
2,20,8,gcn-ds,GCN+DeepSets (cut),cut,0,34049,0.022463204339146614,0.017128102481365204,-0.007548992092846207,0.34
2,20,8,gcn-st,GCN+SetTransformer (cut),cut,0,67713,0.022483868524432182,0.017330635339021683,-0.009403548099180536,0.44
2,20,8,gsc-v1,GraphSetConv-V1 (cut),cut,0,168324,0.02242816984653473,0.017145274206995964,-0.004408475704773318,0.97
2,20,8,gsc-v2,GraphSetConv-V2 (cut),cut,0,218628,0.022535884752869606,0.01715824380517006,-0.014079361935141366,1.37
