model_key,model_name,seed,hidden,params,test_ap,wall_seconds
gsc-ca,GraphSetConv-CrossAttn,0,76,130798,0.618252440468632,14.73
gsc-ca,GraphSetConv-CrossAttn,1,76,130798,0.6037858836797574,14.51
gsc-ca,GraphSetConv-CrossAttn,2,76,130798,0.6182567418890222,14.19
gsc-ca,GraphSetConv-CrossAttn,3,76,130798,0.5910598604821482,14.8
gsc-ca,GraphSetConv-CrossAttn,4,76,130798,0.613219916288505,14.39
gsc-bc,GraphSetConv-Broadcast,0,84,130622,0.6191887621596225,11.28
gsc-bc,GraphSetConv-Broadcast,1,84,130622,0.6240897170381452,11.35
gsc-bc,GraphSetConv-Broadcast,2,84,130622,0.6203682555417983,11.35
gsc-bc,GraphSetConv-Broadcast,3,84,130622,0.6221549786580272,12.32
gsc-bc,GraphSetConv-Broadcast,4,84,130622,0.6116093846124921,11.66
gcn-ds,GCN+DeepSets,0,128,134913,0.6118319543701439,8.65
gcn-ds,GCN+DeepSets,1,128,134913,0.6141282471301922,8.95
gcn-ds,GCN+DeepSets,2,128,134913,0.6153079497898045,9.52
gcn-ds,GCN+DeepSets,3,128,134913,0.613356148150513,9.68
gcn-ds,GCN+DeepSets,4,128,134913,0.6080803946646552,10.06
gcn-st,GCN+SetTransformer,0,128,267777,0.6128274335434853,14.92
gcn-st,GCN+SetTransformer,1,128,267777,0.6133661473275217,13.62
gcn-st,GCN+SetTransformer,2,128,267777,0.6200437054591138,13.02
gcn-st,GCN+SetTransformer,3,128,267777,0.6198362715905036,12.81
gcn-st,GCN+SetTransformer,4,128,267777,0.6131412133114621,12.89
